Column,Values Missing
ws_incurred,92581
bi_count,92581
ws_count,92581
th_count,92581
pd_count,92581
ad_count,92581
is_capped_incurred,92581
incurred,92581
capped_incurred,92581
bi_incurred,92581
ad_incurred,92581
pd_incurred,92581
th_incurred,92581
primary_car_colour,16264
transmission,777
vehicle_make,776
region,142
net_earned_premium,22
licence_test_date,7
vehicle_value,0
gender,0
vehicle_purchase_date,0
d1_is_uk_resident,0
d1_residency_years,0
d1_age,0
vehicle_age,0
vehicle_annual_mileage,0
id,0
overnight_location,0
entitlement,0
vehicle_use,0
pncd,0
ncd,0
voluntary_xs,0
start_date,0
business_provider,0
claim_count,0
net_written_premium,0
exposure,0
cover,0